SubjectID,Session_x,MeanFD_Power,MeanDVARS,boldSnr,Session_y,CJV,EFC,WM2MAX,GM_mean,WM_mean
sub-01,ses-1,0.0556875491135208,1.3997437953948975,108.69640038385893,ses-1,0.6728886189352471,0.3011,0.7640893745608673,1156.38525390625,1567.5263671875
sub-02,ses-1,0.0784840569322761,1.4367432594299316,71.23331374333148,ses-1,0.6032986024770748,0.2969,0.744398997117829,1040.986083984375,1507.3525390625
sub-03,ses-1,0.1426384623193034,1.346118450164795,71.20260730793431,ses-1,0.5349936731024698,0.2779,0.7777230129325021,1153.7860107421875,1601.017822265625
sub-04,ses-1,0.0847289871841418,,,ses-1,0.5004576159406694,0.2711,0.8128903435564279,1147.60693359375,1705.853759765625
sub-05,ses-1,0.047842164347838,1.4859050512313843,71.11577321158703,ses-1,0.48768377114469985,0.2541,0.8128093852335893,990.6840209960938,1473.6573486328125
sub-06,ses-1,0.0727378722435066,1.4698899984359741,50.8145661528002,ses-1,0.604062624489498,0.301,0.7991644137438219,1156.52490234375,1638.228515625
sub-07,ses-1,0.0430011036995941,1.341163992881775,1117.562420221241,ses-1,0.5098966219590949,0.2626,0.7804404854130442,1063.6490478515625,1574.209716796875
sub-08,ses-1,0.0559334797499523,,,ses-1,0.49213259407394766,0.2782,0.7955248593328039,1094.9083251953125,1622.846435546875
sub-09,ses-1,0.1739384812516625,1.3430054187774658,87.0384350435793,ses-1,0.5809117279958379,0.2729,0.7960930961536237,1152.2523193359375,1612.604736328125
sub-10,ses-1,0.0994554320472579,,,ses-1,0.6244166984743215,0.3107,0.7728427837732977,1130.952392578125,1556.9443359375
sub-11,ses-1,0.1347688059719884,,,ses-1,0.5263766815450166,0.2984,0.8080536402360176,1151.56103515625,1621.3267822265625
sub-12,ses-1,0.091925688557713,1.1297703981399536,56.28907335948301,ses-1,0.5356028989350701,0.2666,0.7850764107096969,1101.1641845703125,1567.4461669921875
sub-13,ses-1,0.1912204157182302,1.2664018869400024,49.538523808685966,ses-1,0.4828493460384607,0.2856,0.7983256263164296,1168.318359375,1733.90673828125
sub-14,ses-1,0.0523386478137582,1.3839346170425415,89.25727954399721,ses-1,0.5354191974899202,0.2735,0.7951173671939666,1115.438232421875,1606.81640625
sub-15,ses-1,0.0407208537788357,,,ses-1,0.5832492888227067,0.2736,0.7751977860391237,1111.3450927734375,1559.4254150390625
sub-16,ses-1,0.1169585510518733,1.352231740951538,67.95168978952937,ses-1,0.479535245337212,0.2627,0.7934006964765213,1103.1754150390625,1621.1666259765625
sub-17,ses-1,,,,ses-1,,0.2639,,,
sub-18,ses-1,0.079987786571941,1.2523330450057983,60.33807955382807,ses-1,0.5869070438528936,0.2646,0.7946337193730084,1138.440673828125,1592.406494140625
sub-19,ses-1,0.0330010194676467,1.2258174419403076,91.95396301287569,ses-1,0.5695279015116002,0.2678,0.7917227834106442,1094.51318359375,1535.3665771484375
sub-20,ses-1,0.072793554783364,,,ses-1,0.528043048923777,0.2775,0.7931790989786045,1150.752685546875,1614.6314697265625
sub-21,ses-1,0.1419812882166114,1.2261779308319092,47.63494671302399,ses-1,0.5251859690698074,0.2772,0.7761520242189025,1054.4091796875,1573.7947998046875
sub-22,ses-1,0.2488423694706769,,,ses-1,0.5681710400463378,0.2802,0.787519032283801,1126.8577880859375,1607.364990234375
sub-23,ses-1,0.138481603436958,1.2666490077972412,45.580229103627545,ses-1,0.55937924484498,0.277,0.7527647511058624,846.9021606445312,1208.3905029296875
sub-24,ses-1,0.1310426929386597,1.2831404209136963,120.50041992017633,ses-1,0.5191653828415547,0.2821,0.7684144254008597,935.7298583984375,1371.132080078125
sub-25,ses-1,0.0936633692733862,,,ses-1,0.5430222663702927,0.2757,0.731901107781088,788.1963500976562,1141.781005859375
sub-26,ses-1,0.0625292269189115,1.2818602323532104,59.87137245250046,ses-1,0.6342634929161112,0.2989,0.73930333460351,1106.5736083984375,1552.2216796875
sub-27,ses-1,0.0651864169605577,1.1119884252548218,74.3488407383336,ses-1,0.5087219433739169,0.2603,0.7796154552188626,978.4058227539062,1426.2039794921875
sub-28,ses-1,0.1677657296652033,,,ses-1,0.5150394556817618,0.2836,0.7879723544451939,1088.338623046875,1606.9776611328125
sub-29,ses-1,0.0408146922892037,1.4659719467163086,89.0421537636368,ses-1,0.5846452623705946,0.2788,0.7443901654182595,1090.519287109375,1545.2216796875
sub-30,ses-1,0.0496989821847851,1.1650125980377197,59.495003252572836,ses-1,0.5975921327354222,0.3017,0.7420885453566928,1101.1690673828125,1566.03076171875
sub-31,ses-1,0.1068033936417444,1.2440260648727417,76.36486084933583,ses-1,0.48279392015084005,0.2557,0.7633235985300223,934.89697265625,1415.2796630859375
