Framework,Metric,N,Mean,Std,Median,Min,Max
CPAC-Default,CJV,81,0.4147,0.0400,0.4142,0.3100,0.4978
CPAC-Default,EFC,81,0.3148,0.0145,0.3161,0.2848,0.3538
CPAC-Default,WM2MAX,81,0.7879,0.0240,0.7891,0.7373,0.8757
CPAC-Default,MeanFD,64,0.1798,0.0811,0.1737,0.0100,0.3666
CPAC-Default,DVARS,66,1.1025,0.1516,1.0949,0.7998,1.5133
CPAC-Default,tSNR,70,56.3434,12.7325,55.9330,28.2202,84.5132
CPAC-LLM,CJV,81,0.3993,0.0414,0.3989,0.2998,0.4833
CPAC-LLM,EFC,81,0.3047,0.0176,0.3059,0.2580,0.3491
CPAC-LLM,WM2MAX,81,0.7931,0.0241,0.7936,0.7224,0.8502
CPAC-LLM,MeanFD,66,0.1939,0.0828,0.1878,0.0100,0.3805
CPAC-LLM,DVARS,68,1.0414,0.1174,1.0343,0.7735,1.2948
CPAC-LLM,tSNR,68,58.5241,13.3311,59.6135,29.1389,83.8793
fMRIPrep,CJV,82,0.4457,0.0401,0.4376,0.2970,0.6229
fMRIPrep,EFC,82,0.3671,0.0205,0.3712,0.3154,0.4298
fMRIPrep,WM2MAX,82,0.7716,0.0644,0.7934,0.5944,0.8409
fMRIPrep,MeanFD,82,0.1827,0.1077,0.1552,0.0640,0.6150
fMRIPrep,DVARS,82,1.1117,0.0657,1.1103,0.9389,1.2762
fMRIPrep,tSNR,82,53.6591,10.6991,54.2031,26.2004,76.0905
DeepPrep,CJV,79,0.4827,0.0331,0.4726,0.4417,0.6068
DeepPrep,EFC,79,0.3069,0.0164,0.3096,0.2611,0.3563
DeepPrep,WM2MAX,79,0.7280,0.0847,0.7481,0.5050,0.8418
DeepPrep,MeanFD,76,0.1793,0.1082,0.1500,0.0640,0.6030
DeepPrep,DVARS,76,1.2045,0.1610,1.2257,0.6430,1.5170
DeepPrep,tSNR,76,53.8322,11.1250,54.5794,26.0958,76.8133
