Framework,Metric,N,Mean,Std,Median,Min,Max
CPAC-Default,CJV,48,0.4452,0.0432,0.4430,0.3691,0.5449
CPAC-Default,EFC,48,0.3594,0.0164,0.3592,0.3160,0.3934
CPAC-Default,WM2MAX,48,0.8195,0.0241,0.8211,0.7604,0.8654
CPAC-Default,MeanFD,39,1.6359,0.7799,1.7240,0.0100,2.8550
CPAC-Default,DVARS,41,1.3954,0.1613,1.4061,0.8808,1.6883
CPAC-Default,tSNR,40,57.3287,12.2022,56.8261,30.8038,81.1547
CPAC-LLM,CJV,48,0.3776,0.0412,0.3764,0.2991,0.4682
CPAC-LLM,EFC,48,0.3425,0.0185,0.3422,0.2970,0.3786
CPAC-LLM,WM2MAX,48,0.8407,0.0263,0.8393,0.7662,0.8973
CPAC-LLM,MeanFD,39,1.1741,0.7367,1.1474,0.0100,2.7295
CPAC-LLM,DVARS,38,1.1424,0.1489,1.1532,0.8294,1.4360
CPAC-LLM,tSNR,41,60.8997,14.8042,59.9188,21.4139,90.9859
fMRIPrep,CJV,47,0.4426,0.0189,0.4401,0.4136,0.4976
fMRIPrep,EFC,47,0.4591,0.0248,0.4599,0.4143,0.5269
fMRIPrep,WM2MAX,47,0.8439,0.0178,0.8481,0.7613,0.8671
fMRIPrep,MeanFD,47,4.2973,27.4622,0.1330,0.0614,188.5175
fMRIPrep,DVARS,47,1.5638,3.2755,1.0786,0.9781,23.5384
fMRIPrep,tSNR,47,51.4724,13.2734,54.2922,0.5276,67.4408
DeepPrep,CJV,48,0.5149,0.0218,0.5119,0.4709,0.5962
DeepPrep,EFC,48,0.3474,0.0226,0.3461,0.3040,0.4137
DeepPrep,WM2MAX,48,0.8150,0.0182,0.8215,0.7574,0.8379
DeepPrep,MeanFD,48,1.6946,9.8414,0.1326,0.0568,68.3541
DeepPrep,DVARS,48,1.0550,0.2352,1.1011,0.1895,1.4226
DeepPrep,tSNR,48,51.4957,13.1728,54.3450,0.5268,67.1239
