Framework,Metric,N,Mean,Std,Median,Min,Max
CPAC-Default,CJV,111,0.4466,0.0422,0.4466,0.3406,0.5564
CPAC-Default,EFC,111,0.3060,0.0149,0.3067,0.2699,0.3450
CPAC-Default,WM2MAX,111,0.8398,0.0265,0.8374,0.7693,0.9041
CPAC-Default,MeanFD,91,0.3190,0.1778,0.3261,0.0100,0.8267
CPAC-Default,DVARS,90,1.1342,0.1403,1.1424,0.8380,1.4739
CPAC-Default,tSNR,91,84.8513,18.7814,82.2974,49.3493,129.5992
CPAC-LLM,CJV,111,0.4126,0.0383,0.4065,0.2925,0.5115
CPAC-LLM,EFC,111,0.2887,0.0150,0.2884,0.2507,0.3240
CPAC-LLM,WM2MAX,111,0.8557,0.0232,0.8523,0.8131,0.9115
CPAC-LLM,MeanFD,94,0.2936,0.1571,0.2941,0.0100,0.6631
CPAC-LLM,DVARS,96,1.0511,0.1174,1.0579,0.7325,1.2781
CPAC-LLM,tSNR,93,84.3114,24.6178,84.7852,28.1961,145.4485
fMRIPrep,CJV,111,0.4793,0.0809,0.4444,0.3905,0.7251
fMRIPrep,EFC,111,0.4937,0.0449,0.4925,0.4219,0.6571
fMRIPrep,WM2MAX,111,0.8506,0.0300,0.8635,0.7643,0.8835
fMRIPrep,MeanFD,111,0.4001,0.7294,0.1620,0.0423,4.6320
fMRIPrep,DVARS,111,1.2538,0.0972,1.2485,0.9026,1.5814
fMRIPrep,tSNR,111,80.0193,33.5745,86.1536,10.3991,144.9562
DeepPrep,CJV,111,0.5252,0.0589,0.5056,0.4617,0.7300
DeepPrep,EFC,111,0.2932,0.0156,0.2920,0.2549,0.3364
DeepPrep,WM2MAX,111,0.8124,0.0444,0.8293,0.6370,0.8494
DeepPrep,MeanFD,111,0.3382,0.5425,0.1565,0.0458,3.0054
DeepPrep,DVARS,111,1.0573,0.2277,1.1247,0.5337,1.4419
DeepPrep,tSNR,111,82.4241,32.1903,88.8721,11.9846,141.4731
