Framework,Metric,N,Mean,Std,Median,Min,Max
CPAC-Default,CJV,312,0.4628,0.0711,0.4507,0.3100,0.8114
CPAC-Default,EFC,312,0.3097,0.0294,0.3084,0.2520,0.3934
CPAC-Default,WM2MAX,312,0.8085,0.0384,0.8065,0.6368,0.9041
CPAC-Default,MeanFD,266,0.4153,0.6045,0.1885,0.0100,2.8550
CPAC-Default,DVARS,246,1.1994,0.1808,1.1998,0.7998,1.6883
CPAC-Default,tSNR,250,70.9463,26.3497,66.4077,28.2202,312.4316
CPAC-LLM,CJV,311,0.4348,0.0792,0.4175,0.2925,0.8623
CPAC-LLM,EFC,312,0.2983,0.0266,0.2934,0.2507,0.3786
CPAC-LLM,WM2MAX,311,0.8193,0.0427,0.8227,0.6407,0.9115
CPAC-LLM,MeanFD,270,0.3434,0.4588,0.1951,0.0100,2.7295
CPAC-LLM,DVARS,253,1.1083,0.1519,1.0956,0.7325,1.4859
CPAC-LLM,tSNR,253,76.2890,71.9374,66.7869,21.4139,1117.5624
fMRIPrep,CJV,312,0.4976,0.1082,0.4485,0.2970,1.0397
fMRIPrep,EFC,312,0.4047,0.0922,0.4163,0.2489,0.6571
fMRIPrep,WM2MAX,312,0.8213,0.0503,0.8285,0.5944,0.8835
fMRIPrep,MeanFD,312,0.8569,10.6707,0.1241,0.0388,188.5175
fMRIPrep,DVARS,312,1.2513,1.2703,1.1720,0.9026,23.5384
fMRIPrep,tSNR,312,68.4397,25.4259,65.4034,0.5276,144.9562
DeepPrep,CJV,310,0.5072,0.0441,0.4980,0.4417,0.7300
DeepPrep,EFC,310,0.2873,0.0459,0.2955,0.1961,0.4137
DeepPrep,WM2MAX,310,0.8096,0.0768,0.8249,0.5050,0.9123
DeepPrep,MeanFD,307,0.4509,3.9093,0.1153,0.0402,68.3541
DeepPrep,DVARS,307,1.1425,0.2119,1.1890,0.1895,1.5931
DeepPrep,tSNR,307,69.2698,25.2116,66.6711,0.5268,141.4731
